index,text,entity_name,entity_value
10,"['GroBe Kapazitat, Tragfahigkeit bis zu 30KG', 'Das Material ist ca.5mm dick und die Fugen sind verstarkt, so dass', 'es sehr stark ist', 'Tragfahigkeit bis zu 30KG, kann eine Vielzahl von Gegenstanden', '30', 'KG', 'aufnehmen.']",item_weight,30.0 kilogram
11,"['WILDFANG', 'XS', 'S', 'XL', '1,3 cm', '2 cm', '2,5cm', '3 cm', '3,5 cm', '12 cm', '13 cm', '14 cm', '15 cm', '16cm', '<10 kg', '10-15 kg', '15-25 kg', '25-45 kg', '>45 kg']",item_weight,10 kilogram to 15 kilogram
12,"['ERICH', 'Helps in', 'CRICH', 'Helps in', 'osteoarthritis', 'digestion', 'Reduces', 'inflammation', 'USDA', 'ORGANIC', 'Anti-bacterial', 'properties', 'ERFOOD', 'RICH', 'ORGANICS', 'SED', 'Helps in', 'PCOS', 'SPEARMINT', 'GREEN TEA', '0', 'Fe', 'WEIGHT', 'NE']",item_weight,3.53 ounce
13,"['USDA', 'ORGANIC', 'SSRICHS', 'PROMOTES', 'ORGANICS', 'DIGESTVE', 'HEALTH', 'PLANT BASED', 'ORGANIC', 'SUPERFOOD', 'SPEARMINT', 'GREEN TEA', 'HIGH IN ANTIOXIDANTS', 'HIGH IN VITAMIN', 'ANTI-BACTERIAL IN NATURE', '+COMBATS DISEASES', 'Fe GREAT SOURCEOFIRON', 'NET WEIGHT100 g3.53 oz']",item_weight,3.53 ounce
14,"['PACKAGNG', ' CHANGED', 'OOD FOR THE MODERN LIFE', 'SRICH', 'ORGANICS', 'RICH', 'ORGANICS', 'NTO USE', 'PSAPERFOSED', 'Issa', 'SPEARMINT', 'GREEN TEA', 'USDA', 'ORGANIC', 'OODFOR THE MODERN LIFE', 'BEFORE', 'SRICH', 'fssai', 'ORGANICS', 'SRICH', 'LIC.No.12721999000135', 'ORGANIC SPEARMINT HERBAL TEAE', 'ORGANICS', 'kee', 'DIRECTION OF USE', 'an be made into herba', 'CHORGANICS.COM', 'IngredientsOrganic Spearmint Pure Herb', 'Country of Origin: Indic', 'PLANT BASED', 'Nutritionl Facts', 'ORGANIC', 'SUPERFOOD', 'Calories', '80kcal', 'SPEARMINT', 'GREEN TEA', 'ated fal', 'MANUFACTURED AND MARKETED BY:', 'Omg', 'HIGH IN VITAMINA', 'Sorich Organics Pt.d', 'RICHINANTIOXIDANTS', 'NET WEIGHT : 100 g (3.53 oz)', 'ANTI-BACTERIALIN NATURE', 'MRP Rs.', 'FGREAT SOURCEOFIRON', 'BATCH NO. :', 'NET WEIGHT100g3.53oz', 'PKD. :', 'USE BY :', 'AFTER', 'Note: Packaging may vary for a brief period of time.']",item_weight,53 ounce
15,"['XX XX', 'L.oose packaging', 'Impurities added', 'Other', 'Does not brew easily', 'brands', 'Added preservatiyes', 'Processed chemically', 'VS', 'USDA', 'ORGANIC', 'SSRICH', 'Air-tight packaging', 'ERICH', 'ORGANICS', 'Impurities free', 'Brews easily', 'SPEARMINT', 'GREEN TEA', 'Noadded preservative', 'HIGHIN VITAMIN', 'ANTI-BACTERIAL INNATURE', 'Drectly from farm', 'Fe GREAT SOURCE OFIRON']",item_weight,100 gram
16,"['FREE', 'Glucon-D', 'Regular 200g', 'pack', 'Glucon-D', 'ENEREY', '?', 'InstantEnergy', 'TISSSNTT', 'Regular', 'Hein', 'Minerals', 'Vitamin']",item_weight,200 gram
17,"['FREE', 'Glucon-D', 'Regular 200g', 'pack', 'Glucon-D', 'R', 'Net Weight', 'Instant Energy', 'KO', '99.4% pure Glucose-Glucose is an Instant energy source for', 'the body and is the only energy source for the brain.', 'Vitamin', 'Glucon-D has Vitamin D and Calcium that provides', 'strength to the bones and body.', 'Minerals', 'Glucon-D has Phosphorus that is essential for', 'energy production and storage', 'i ', '99.4%', 'facifira', 'fAARORT', '3', ' ', 't this.offeralso.available', 'Offer available in specifically marked packs only', 'We would love to hear from you.', 'MFD.', 'M.R.P Rs./ (INCL.OFALL TAXES', 'LOT No.', '(See space below /bottom of jar.)']",item_weight,1 kilogram
18,"['FREE', 'Glucon-D', 'Regular 200g', 'pack', 'Instant Energy', 'NUTRITIONAL VALUE*', 'Per 100g Per Serve (35g)', 'Energy Value', '360kcal', '126kcal', 'Protein.', '..0g', 'Og', 'Carbohydrates', '.90g', '31.5g', 'of which sugar sucrose)', '..0g', 'Og', 'Fat &All types of fatty acids', '..0g', 'Og', 'Calcium.', '.170mg', '59.5mg', 'Phosphorus', '.100mg', '35mg', 'Vitamin D', '3001.U.', '105I.U.', '*Approx.Value', 'n o3c.Auu4Lcaspoomoldrocol-D (approx.33g) l0cheglassorsate', 'Glucose based beverage mix Proprietary Food)', 'Storage Condition:Store in a cool, dry place away from strong odours', 'Heinzy', 'Worli,Mumbai-400 018.', 'fssai', 'LiC.No.10013022001417', 'A)Heinz IndiaPvt.Ltd.ManzurgarhiAligarh-202 001.FSSAl Lic.No.10014051000865', 'FSSAILic.No.10014012000278', 'FSSAILic.No.10014062000273', '1kg', 'Net Weight:']",item_weight,200 gram
19,"['FREE', 'Glucon-D', 'Regular 200gpack', 'Glucon-D', '?', 'Instant Energy', 'Regular', 'Glucon-D', 'Instant Energy', 'Regular', 'Minerals', 'Vitamin', 'Minerals', 'Vitamin']",item_weight,200 gram
20,"['Glucon-D', '9.4in', '23cm']",item_weight,200 gram
21,"['ONE SIZE', 'FITS', '6 ALL', 'STRETCHABLE AND', 'BLACKFABRIC BLOCKS', 'FORMFITTING', 'THELIGHT', 'EXPERT-GRADE GEL', 'NON-TOXIC NO SMELL', 'FLEXIBLE COMFORTABLE FOR', 'COLD ORHOT THERAPY', '3.1 in', '5.3', '5', '22.2 in']",item_volume,4.0 gallon
22,"['925 SterlingSilver', '18K Gold Plated', '0.28INCH', '(7MM)', 'High Polish', '0.07 INCH', '(1.8MM)', '16+2 INCH Extend Chain', 'Net Weight: 2.7G', '(405MM+50MM)', 'Manual measurement, the size may be slightly different from the physical']",item_weight,2.7 gram
23,"['Creating a sustainablefoodfuture', 'for you and the planet', 'Visit www.knorr.com/uk', 'How to use Knorr', 'Stock Pots:', 'S', 'GLUTEN', 'NO ADDED', 'AND', 'FREE', 'MSG', 'PRESERVATIVES', '4x28g=112g e', 'eiher:dissolve', 'the pot into', '500ml of boiling', 'or:add the', 'water.', 'pot directly', 'to dish.', 'Best Before End:']",item_weight,112 gram
24,"['9.1cm/3.58""', '36.8cm/', '14.48""', '48V 13Ah', '48V 17.5Ah', '11.1cm/4.37', 'Downtube Battery', 'Type', '13Ah:2500m-A-h', 'Battery Cell', '17.5Ah:Sam-sung/L-G/Cell', '3500mAh Send it randomly', 'Charger', '48V 13Ah (2A)', 'Charger Output Current', '48V 17.5Ah (4A)', 'USB port', 'BMS', '30A', 'Battery Weight.', 'KG', '4.1KG/4.4KG']",item_weight,4.1 kilogram
25,"['9.1cm/3.58""', '36.8cm/', '14.48""', '48V 13Ah', '48V 17.5Ah', '11.1cm/4.37', 'Downtube Battery', 'Type', '13Ah:2500m-A-h', 'Battery Cell', '17.5Ah:Sam-sung/L-G/Cell', '3500mAh Send it randomly', 'Charger', '48V 13Ah (2A)', 'Charger Output Current', '48V 17.5Ah (4A)', 'USB port', 'BMS', '30A', 'Battery Weight.', 'KG', '4.1KG/4.4KG']",voltage,48.0 volt
26,"['Product Name', 'Harvest Festival Doll', 'Product Size', '15926CM', 'Qty./Ctn.', '96PCS', 'Carton Size', '52x42x40CM', 'Material', 'Polyester material', 'Craftsmanship', 'Manual', 'Colour', 'BrownYellow', 'GreyOrange', 'Product Weight', '158g']",item_weight,158.0 gram
27,"['158g', '1580']",item_weight,158.0 gram
28,"['GMP', 'NUVIDA', 'NATURAL HEALTH', 'CRANBERRY EXTRACT', 'High Strength Extract for', 'Natural Urinary Tract and Bladder Support', 'SUITABLE FOR VEGETARIANS AND VEGANS', '5000mg 90 Tablets', 'FoodSupplement']",item_weight,5000 milligram
29,"['50 mI', 'Carvomin', 'R', 'Verdauungstropfen', '18,55 g/20 ml', 'Flussigkeit zum Einnehmen', 'Wirkstoff:', 'Auszug aus einer Mischung', 'von Angelikawurzeln,', 'Benediktenkraut und', 'Pfefferminzblattern', 'KLONGE', 'PHARMA']",item_weight,18.55 gram
30,"['50n', '50 mI', 'Carvomin', 'R', 'arvom', 'Verdauungstropfen', 'Verdauungstropten', 'hmel', '18,55 g/20 ml', 'm Einnehi', '18.55g/20m', 'Bkeit z', 'Flussigkeit zum Einnehmen', 'Zu', '157', '50 ml Wirkstoff Ase', 'Benediktenkrau!', 'Carvomin', 'pflanzliches A', 'Verdauungstuco', 'Verdauungstropfen', 'keit enthalten', '16', 'Mischung von A', '18,55 g/20 ml', 'ferminzblattem', 'Flussigkeit zum', 'Wirkstoff:', 'Enthalt 58V', 'Einnehmen', 'Auszug aus einer Mischung', 'mittel fur Kine', 'lagern.Das A', 'von Angelikawurzeln', 'ausschlieBlichar', 'Benediktenkraut und', 'dungsgebietre', 'Pfefferminzblattern', 'Krankheitssymco', 'Packungsberag', 'eine andere n', 'KLONGE', 'tieren.RegN.', 'Zur Anwendung', 'bei Erwachsenen', 'Klinge Pharma', 'PHARMA']",item_weight,18.55 gram
31,"['Carvonin', '50 mI', 'Ierdaungstonfien', 'Carvomin', '1855g20m', 'Verdauungstropfen', 'wendune', '18,55 g/20 ml', 'Flussigkeit zum Einnehmen', 'OCKAUn', '&SDeil', '50 ml Wirkstoff: Asu', 'Benediktenkrau!', 'Carvomin', 'pflanzliches Am', 'Verdauungstro', 'Verdauungstropfen', 'keit enthalten', 'Mischung von ', '18,55 g/20 ml', 'Wirkstoff:', 'ferminzblattem', 'Flussigkeit zum', 'Enthalt 58Va', 'Auszug aus einer Mischung', 'Einnehmen', 'mittel fur Kine', 'von Angelikawurzeln,', 'lagern.Das A', 'Benediktenkraut und', 'ausschlieBlichar.', 'dungsgebiere', 'Pfefferminzblattern', 'Krankheitssymo', 'Packungstelag ', 'KLONGE', 'eine andere ng', 'tieren.Reg-N.', 'PHARMA', 'Zur Anwendung', 'Klinge Pharma', 'bei Erwachsenen']",item_weight,18.55 gram
32,"['50.m', '50 ml', 'Carvomin', 'arvom', 'Verdauungstropfen', 'Veroaungstropten', '18,55 g/20 ml', '18.55g/20m', 'Flussigkeit zum Einnehmen', 'FliSsie', 'AnWer', '552', 'LUSZUS', '13', 'Wirkstoff:', 'Auszug aus einer Mischung', 'von Angelikawurzeln,', 'Benediktenkraut und', 'Pfefferminzblattern', 'KLONGE', 'PHARMA']",item_weight,18.55 gram
33,"['carvonin', '50 mI', 'lerdauungstronfien', 'Carvomin', '1855g20m', 'Verdauungstropfen', '18,55g/20 ml', 'Flussigkeit zum Einnehmen', 'Wirkstoff:', 'Auszug aus einer Mischung', 'von Angelikawurzeln', 'Benediktenkraut und', 'Pfefferminzblattern', 'KLONGE', 'PHARMA']",item_weight,18.55 gram
34,"['65:62', 'USB', 'CHARGING', ' PORTS', '50', 'MODE', 'UP', 'DOWN']",item_weight,50.0 gram
35,"['How to Use.', 'Place the curtain between the', 'counterweight and the magnet', '4cm/1.6in', 'Weight:26g', 'Load-bearing', 'metalblock']",item_weight,26.0 gram
36,"['28""', 'ZFREEWHEELS', '800W36V', 'GABELMINDESTBREITE135MM', 'HINTERRADMITBRUSHLESSMOTOR']",wattage,800.0 watt
37,"['28""', 'ZFREEWHEELS', '800W36V', 'GABELMINDESTBREITE135MM', 'HINTERRADMITBRUSHLESSMOTOR']",voltage,36.0 volt
38,"['Superior Quality', 'Put durability,safety,and environmental protection first', 'Honeycomb Surface', 'Offers solid performance and ensures that', ""the yoga ball won't burst suddenly."", 'Explosion-Proof Design', 'Provides the best protection and', 'prevents injuries,', 'EnvironmentallyFriendly Material', ""Just use it with confidence knowing it's made"", '>poI', 'of environmentally friendly material.', 'No Sticking', ""Rest assuredthat the surface won't stickto"", 'your skin, clothing, floor, and much more.', '330lbs Load Bearing', 'Never worry about the load-bearing capacity', 'of this yoga ball as it can support up to 330lbs']",item_weight,330.0 pound
39,"['51*70 IN', '31 0Z', 'GARDEN', 'soft', ' ventilate', 'warm', 'and', 'Particularly smooth', 'Comfortable to skin']",item_weight,31.0 ounce
40,"['SKINFOOD', 'SALMON DARK CIRCLE CONCEALER', 'This concentrated and creamy concealer', 'contains salmon ingredients which effectively', 'help conceal dark under eye circles and brighten', 'the eyes.', 'To use : After applying your foundation dispense an', 'adequate amount and gently tap onto dark circles around', 'your eye area', '#2', '809221274243', 'Dist.SKINFOOD USA,INC.1 Technology Drive', 'Bldg.B,Suite B113 Irvine,California,92618', 'www.theskinfood.com', '10g/Net wt.0.35oz', 'Made in Korea', 'OPEN HERE']",item_weight,0.35 ounce
41,"[""hot'chocolate"", 'BOMBS', 'Made with Belgian Chocolate', 'inc/udes Mini Marshmallows', 'Milk', 'Double', 'Salted', 'Peppermint', 'Chocolate', 'Chocolate', 'Caramel', 'ORIGINAL INGREDIENTS:SUGARCOCOA BUTTERWHOLE MILK POWDER', 'Nutrition Facts', 'MARSHMALLOWS SUGARGLUCOSE SYRUPGELATINSORBITOLMODIFIED', 'CORN STARCH.DEXTROSE,ARTFICIAL FLAVOR,TETRASODIUM', 'PYROPHOSPHATE.COCOA MASSEMULSIFIERS (SOY LECITHIN.PGPR', '16 serving per container.', 'VANILLA EXTRACT', 'Serving size1 Package (35g)', 'CONTAINS:MILK,SOY.', 'Amount per serving', 'SALTED CARAMEL INGREDIENTS:SUGAR.COCOA BUTTER,WHOLE MILK', '180', 'POWDER.MARSHMALLOWS SUGAR.GLUCOSE SYRUP.GELATIN.SORBITOL', 'Calories', 'MODIFIED CORN STARCH.DEXTROSE,ARTFICIAL FLAVOR.TETRASODIUM', 'PYROPHOSPHATE.COCOA MASS.EMULSIFIERS (SOY LECITHINPGPR)', 'VANILLAEXTRACT.SALT.CARAMEL FLAVOR', '% Daily Value*', 'CONTAINS:MILK,SOY.', 'Total Fat 9g', '12%', 'PEPPERMINT INGREDIENTS:SUGARCOCOA BUTTER.WHOLE MILK POWDER', 'Saturated Fat 5g', '25%', 'MARSHMALLOWS (SUGAR.GLUCOSE SYRUP.GELATIN.SORBITOL MODIFIED', 'CORN STARCH.DEXTROSE,ARTFICIAL FLAVOR.TETRASODIUM', 'Trans Fat Og', 'PYROPHOSPHATECOCOA MAS.EMULSIFIERS (SOY LECITHIN.PGPR', 'Cholesterol 5mg', '2%', 'VANILLA EXTRACT.PEPPERMINT FLAVOR.', 'BB', 'Sodium 20mg', 'CONTAINS:MILK.SOY', '1%', 'Total Carbohydrate 22g', '8%', 'DOUBLE CHOCOLATE INGREDIENTS: SUGAR.COCOA BUTTER.COCOA MASS.', 'WHOLE MILK POWDER,MARSHMALLOWS (SUGAR.GLUCOSE SYRUP.GELATIN', 'Dietary Fiber <1g', '2%', 'SORBITOL.MODIFIED CORN STARCH.DEXTROSE,ARTFICIAL FLAVOR,', 'TETRASODIUM PYROPHOSPHATE).EMULSIFIERS (SOY LECITHIN.PGPR)', 'Total Sugars 21g', 'VANILLA EXTRACT', 'Includes 21g Added Sugars 42%', 'CONTAINS:MILK.SOY.', 'Protein 2g', 'DISTRIBUTEDBY FRANKFORD CANDY LLC', 'PHILADELPHIA,PA 19114', 'Vit. D 0mcg 0%Calcium 45mg 2%', 'CHOCOLATE MADE IN BELGIUM', 'Iron 0.6mg 2%Potas.75mg 2%', 'MOLDED AND PACKED IN CHINA', 'MARSHMALLOWS MADE IN CHINA', ' The % Daily Value (DV) tells you how much', 'www.frankfordcandy.com', ' a nutrient in a serving of food contributes to', ' a daily diet. 2,000 calories a day is used for', 'Frankford', ' general nutrition advice.']",item_weight,35.0 gram
42,"['IP65', '150W']",wattage,150.0 watt
43,"['220mm/8.66in', '150W', 'IP65', '305mm/12.00in', '32mm/1.25in', 'Ground', 'Wall', 'Ceiling']",wattage,150.0 watt
44,"['Durable & Flexible LED Floodlight', 'Thickened', 'Glass', 'High-Quality', 'LEDs', 'Die-Cast', 'Alumium Frame', 'IP65', '30W', 'Mental', 'Bracket']",wattage,30.0 watt
45,"['1P65', '30W', 'IP65', 'waterproof', 'Dustproof', 'Heat-resisting', 'Frost-resistant']",wattage,30.0 watt
46,"['15.5g', '50cm', '4cm', 'BF', 'EST', 'FRIF', 'ANDS', '3.5cm']",item_weight,15.5 gram
47,"['JACQUARD', 'KNITTED MATERIAL', 'Super soft and comfortable creating a', 'custom upholstered look', '200GSM', 'Microfiber']",item_weight,200.0 gram
48,"['KOMFORT-PAKET', 'DAS HERZSTUCK :', 'STARKER UND EFFIZIENTER MOTOR FUR ANGENEHMEN FAHRKOMFORT', 'KRAFTVOLLE UND EFFIZIENTE', 'EXTREM LEISERUND', 'UNGLAUBLICHES DREHMOMENT', 'UNTERSTUTZUNG BIS', 'LEISTUNGSSTARKERMOTOR MIT', 'VON', '25 KM/H', '250 W', '45 NM']",wattage,250.0 watt
49,"['GGANBU', 'AF', 'Your Old and Close Friend Ever!', 'How to Make', '1tablet', 'Water', '(10oz)', 'Boil', '3 min.']",item_volume,10.0 ounce
50,"['High Quality Polyester Fabric', 'Breathable & Easy to Clean', 'Weight: 0.8KG', 'OVNVHZ', '45CM', 'MODE:', 'BELLE', '38CM', 'DE', '26CM', '28CM', '18CM']",item_weight,0.8 kilogram
51,"['Basic Information', 'Battery Capacity', '1300mAh', 'Discharage Rate', '100C', 'Battery Voltage', '14.8 V', 'Cell Configuration', '4S', 'Connector Type', 'XT60 P|ug', 'Balancer Connector Type', 'JST-XHR', 'Weight: 169g', 'LDECOD', '1.38 Inches', '1300', 'mAh', '100c', 'ROHS CE FC', 'LiPo4S14.8V19.24WH', '1.26 Inches', '2.83 Inches', 'TO', 'T30']",item_weight,169.0 gram
52,"['UNIOUE', 'DESIGN', '0.55inch', '0.78inch', '0.55inch-', '-0.66inch', 'Weight: 10g', '20""+2Extension', 'Moderate thickness,', 'Rotatable screws,', 'Chain Length', 'suitable for ashes', 'tightly fixed']",item_weight,10.0 gram
53,[],item_weight,7.0 gram
54,"['+watt', 'WHEY', 'PROTEIN 90', 'Integratore alimentare di proteine', 'GLUTEN', 'del siero del latte isolate e vitamine.', 'FREE', 'Con edulcoranti. Ultrasolubile.', 'Food supplement of micro-ultrafiltered', 'STEVIOL', 'CFM whey protein isolate and vitamins', 'With sweeteners.Ultrasoluble.', '750 g', '30 dosi/servings']",item_weight,750.0 gram
55,"['8 cm', 'Specifications:', 'Material:borosilicate glass', '9,5 cm', 'Colors:', '3-Natural,Pink,Gold', 'Weight:', '160 g', 'Volume:', '180ml', 'Shape:', 'Shiba Inu', '6 cm']",item_weight,160.0 gram
56,"['ZITROMAC', 'SOLUCIONES CITRICAS', 'PINA', 'DESHIDRATADA', 'Peso Neto:270 gr', '65-70 UNIDADES', 'Caefuceia.o', 'RS21.0309N']",item_weight,270.0 gram
57,"['FRESH', 'MITOP', 'R', 'FENNE', ' qla', 'Net Wt.500g', '902929001101', '0505050']",item_weight,500 gram
58,"['NUTRIARC', 'MUSCLE', 'MRSS GOINER', '60g', '1012', '200g', '12g', 'PROTEIN', 'CALORIES', 'CARBS', 'BOAR', '100%', 'PUREINGREDIENTS', 'CHOCOLATE', 'MILKSHAKE', 'ZERO', 'NETWI.1IKG', 'REE', 'ADDED SUGAR']",item_weight,1 kilogram
59,"['PREMIUM OUALITY', 'INGRIDIENTS', 'ADDED', 'HIGH QUALITY', 'PROTEIN BLEND', 'ADDED', 'CREATINE', 'MONOHYDRATE', 'NUTRIARC', 'MUSCLE', 'ADDED', 'BCAA&', 'MOSS GAINER', 'GLUTAMINE', '60g', '1012g', '6002', '12g', 'PROTEIN', 'RLORIES', 'SARB', 'IEAR', '100%', 'PUREINGREDIENTS', 'CHOCLATE', 'ADDED', 'MILKSHAKE', 'VITAMINS&', 'MINERALS']",item_weight,10 kilogram
60,"['DESIGNED', 'FOR', 'EXTREME', 'GAINS', 'Support Weight&', 'Muscle Building', 'Muscle Size &', 'Strength', 'NUTRIARC', 'Rapid Muscle', 'MUSCLE', 'MASS GAINER', 'Recovery', '60g', '/62101', '200g', '12g', 'PROTEN', '100%', 'Reduce Muscle', 'PUREINGREDIENTS', 'CHOCLATE', 'MILKSHAKE', 'Break down', 'NETWLING']",item_weight,1 kilogram
